[2026-05-29 22:29:05] ============================================================
[2026-05-29 22:29:05] Phase 2: 차트 생성 시작 (배치 9999개/회)
[2026-05-29 22:29:05] 차트 미생성 3,972개 | 오늘 처리 3972개
[2026-05-29 22:34:19]   [136/3972] ✅ 065410
[2026-05-29 22:34:21]   [137/3972] ✅ 044640
[2026-05-29 22:34:23]   [138/3972] ✅ 051820
[2026-05-29 22:34:25]   [139/3972] ✅ 046240
[2026-05-29 22:34:26]   [140/3972] ✅ 060750
[2026-05-29 22:34:28]   [141/3972] ✅ 043790
[2026-05-29 22:34:31]   [142/3972] ✅ 088020
[2026-05-29 22:34:34]   [143/3972] ✅ 094950
[2026-05-29 22:34:36]   [144/3972] ✅ 052210
[2026-05-29 22:34:37]   [145/3972] ✅ 032930
[2026-05-29 22:34:38]   [146/3972] ✅ 061050
[2026-05-29 22:34:42]   [147/3972] ✅ 014010
[2026-05-29 22:34:45]   [148/3972] ✅ 007800
[2026-05-29 22:34:47]   [149/3972] ✅ 046320
[2026-05-29 22:34:48]   [150/3972] ✅ 031800
[2026-05-29 22:34:52]   ✅ push 완료
[2026-05-29 22:34:53]   [151/3972] ✅ 060670
[2026-05-29 22:34:56]   [152/3972] ✅ 074140
[2026-05-29 22:35:00]   [153/3972] ✅ 068770
[2026-05-29 22:35:02]   [154/3972] ✅ 003020
[2026-05-29 22:35:05]   [155/3972] ✅ 015940
[2026-05-29 22:35:08]   [156/3972] ✅ 045820
[2026-05-29 22:35:10]   [157/3972] ✅ 031960
[2026-05-29 22:35:12]   [158/3972] ✅ 067950
[2026-05-29 22:35:15]   [159/3972] ✅ 008320
[2026-05-29 22:35:16]   [160/3972] ✅ 017050
[2026-05-29 22:35:19]   [161/3972] ✅ 024870
[2026-05-29 22:35:21]   [162/3972] ✅ 058550
[2026-05-29 22:35:22]   [163/3972] ✅ 035950
[2026-05-29 22:35:25]   [164/3972] ✅ 000790
[2026-05-29 22:35:27]   [165/3972] ✅ 058900
[2026-05-29 22:35:28]   [166/3972] ✅ 039990
[2026-05-29 22:35:30]   [167/3972] ✅ 066340
[2026-05-29 22:35:32]   [168/3972] ✅ 047600
[2026-05-29 22:35:35]   [169/3972] ✅ 122290
[2026-05-29 22:35:36]   [170/3972] ✅ 077960
[2026-05-29 22:35:39]   [171/3972] ✅ 063280
[2026-05-29 22:35:43]   [172/3972] ✅ 079870
[2026-05-29 22:35:46]   [173/3972] ✅ 032150
[2026-05-29 22:35:47]   [174/3972] ✅ 080570
[2026-05-29 22:35:50]   [175/3972] ✅ 004230
[2026-05-29 22:35:53]   [176/3972] ✅ 084160
[2026-05-29 22:35:55]   [177/3972] ✅ 061140
[2026-05-29 22:35:57]   [178/3972] ✅ 038690
[2026-05-29 22:35:59]   [179/3972] ✅ 090090
[2026-05-29 22:36:01]   [180/3972] ✅ 054120
[2026-05-29 22:36:04]   [181/3972] ✅ 105380
[2026-05-29 22:36:05]   [182/3972] ✅ 035500
[2026-05-29 22:36:07]   [183/3972] ✅ 054650
[2026-05-29 22:36:08]   [184/3972] ✅ 033880
[2026-05-29 22:36:11]   [185/3972] ✅ 042100
[2026-05-29 22:36:13]   [186/3972] ✅ 016990
[2026-05-29 22:36:16]   [187/3972] ✅ 001600
[2026-05-29 22:36:17]   [188/3972] ✅ 036660
